p,m1,m2,m3,m4,s,t,m1_std,m2_std,m3_std,m4_std,s_std,t_std
0.0004065041,0.971,0.942841,0.915498611,0.8889491513,5.275862069,36.038,0.0,0.0,0.0,0.0,0.0,35.620884371438684
0.0008130081,0.9708819999999999,0.94261419,0.91517162578,0.8885301012267,5.308448793606701,43.4,0.0015278777472070265,0.002932339901033844,0.004221114502886158,0.005401485657045166,0.5190163729834074,43.217771527182855
0.0012195122,0.9708049999999999,0.9424656250000001,0.9149566328869999,0.8882535347311,5.3174740801574005,58.779,0.001811147496824946,0.0034774270372179214,0.0050078439544307685,0.006410888794201074,0.5864198217450826,50.52418086274975
0.0016260163,0.970633,0.942134445,0.914478349861,0.8876395223236,5.353184039316901,80.994,0.0024556753330481898,0.004715090974931112,0.0067904288400685575,0.008693176149580569,0.8036726275794145,55.81188879558666
0.0020325203,0.9705269999999999,0.941930473,0.914183962875,0.8872618317079999,5.3782166488444,93.189,0.00279697945900468,0.005370714078312322,0.007735013276049792,0.009902903295991137,0.9133960618607766,63.21714709385965
0.0024390244,0.970332,0.9415554740000001,0.913643066514,0.8865682900508,5.4270108236136005,108.587,0.003360814048868384,0.0064514367607224985,0.009288731426408788,0.011888594701226557,1.1265822404861567,67.09039836334668
0.0028455285,0.970249,0.9413950050000001,0.913410379789,0.8862683698796,5.4315875720299,125.561,0.00344889748961808,0.006622558659776242,0.009538053858463598,0.012211479709665086,1.1317556664084931,70.29410743825214
0.0032520325,0.970085,0.941079679,0.9129556401109999,0.8856854093130999,5.470926590118201,140.116,0.003845329837811271,0.0073825180382132306,0.010630747827863192,0.013608104758576357,1.2677664463611258,75.03941269398007
0.0036585366,0.969961,0.940840899,0.9126107662209999,0.8852426223057,5.492050149200801,158.303,0.004071124298403712,0.007815762648685002,0.011254256557481244,0.014405782681454751,1.3383468990850795,80.45315345529293
0.0040650407,0.9698260000000001,0.940580746,0.912234748654,0.8847594993143,5.513984587487301,173.871,0.0042771506891876206,0.008211393372784342,0.011824099463774888,0.01513541538424962,1.4017245498385504,85.30536539025171
0.0044715447,0.9696589999999999,0.940259941,0.9117725225209999,0.8841674706767,5.553609782893301,189.301,0.0046245113368987645,0.008876531215059805,0.012779377040598519,0.016355024300052763,1.500959511532375,88.77219667160378
0.0048780488,0.9694619999999999,0.9398809600000001,0.9112256912639999,0.8834660799742999,5.596780442742,206.265,0.004941150773956515,0.009484247015754909,0.013654215322825413,0.017474546558037617,1.595643874180517,91.30966120421884
0.0052845528,0.969299,0.9395676550000001,0.910774002413,0.8828871983322,5.6326127091456,222.985,0.00520871670661112,0.009995995051671843,0.014388369565767656,0.018410836282917394,1.681626640037055,96.08378046198996
0.0056910569,0.9690749999999999,0.9391380330000001,0.9101559012389999,0.8820966073805,5.6738892116991,238.486,0.005631081963893261,0.010792535379224958,0.015515705465102428,0.019829917623049836,1.7685243449582235,98.46401864116136
0.006097561,0.968933,0.938864793,0.909761542247,0.8815906469735,5.7016061779004,255.417,0.0058024287310728005,0.011120750779783577,0.01598732637163876,0.020432422293077478,1.8253242250790764,101.41327212334079
0.006504065,0.968733,0.938481009,0.909209154249,0.8808838609206999,5.7379734703468,269.873,0.006117281433131244,0.0117215207897501,0.016847190809391756,0.02152652695530942,1.8775476386295535,104.92724430574549
0.0069105691,0.968519,0.938069865,0.908616687263,0.8801249156405999,5.7775807326018,286.285,0.006391595379206316,0.012247203866569904,0.01760274714171031,0.022491830163135648,1.9460875509505844,107.99938723271839
0.0073170732,0.968328,0.937703212,0.9080887691099999,0.8794492161675,5.8298408097195,303.048,0.006643835982063113,0.012730452712976618,0.018297109854856344,0.023378677786179067,2.0508348708911623,111.99897976083297
0.0077235772,0.968158,0.937376426,0.907617611596,0.8788453466794999,5.872134888974401,319.64,0.0068234592103709165,0.013074922660540037,0.01879255811608494,0.02401209618799873,2.129060776252998,115.12971489259958
0.0081300813,0.9678779999999999,0.936848884,0.906871390488,0.8779061475372999,5.9846048197053,336.504,0.007818071260754665,0.014850475146830524,0.021175567515043108,0.02686194156273464,3.3876323274813593,118.86154150964911
0.0085365854,0.967778,0.93665677,0.906594561554,0.8775515436754,6.000337560664001,351.977,0.007910454556553063,0.015028797150034232,0.021433517825169193,0.027193382920602575,3.4032073646806835,121.28294201173969
0.0089430894,0.967427,0.9359842509999999,0.9056280709669999,0.8763168123434,6.0945643774071,368.81,0.00832586277757393,0.01582860572012086,0.02258761455972989,0.02867270159658685,3.5071983560328563,122.24968255535424
0.0093495935,0.967299,0.935737991,0.905272707555,0.8758609514064,6.1097576343705,387.282,0.008408704139479861,0.015988096082875995,0.02281776341734848,0.028967746006924634,3.515879674384629,126.03855042086204
0.0097560976,0.967172,0.935493408,0.904919421422,0.8754073328065,6.1323326916646,402.694,0.008473618956397469,0.016114467493408904,0.02300212094585847,0.029206636335280912,3.531409566167443,130.3606699440759
0.0101626016,0.9670829999999999,0.935322171,0.904672306269,0.8750903167187001,6.13745699144,418.609,0.008527298858714076,0.016217773048862887,0.023151122371074234,0.02939754641351103,3.535578339565995,132.6925824620217
0.0105691057,0.966932,0.93503238,0.9042551553439999,0.8745565052658,6.1636801633400005,434.259,0.008658079367754633,0.016468905072465696,0.02351257729195633,0.02985973070624434,3.5533765116112894,137.36354196678843
0.0109756098,0.966791,0.934761103,0.903863692229,0.8740543490767,6.190968791357,450.783,0.008737371496088565,0.016622445461468988,0.023735410375883857,0.030147018732737618,3.5765922896692657,140.89237940205834
0.0113821138,0.966646,0.9344835739999999,0.903465243106,0.8735457831105,6.2086937028153,466.946,0.00889740680467336,0.016926888289928072,0.024169562440912014,0.030697114435500623,3.590138542701197,142.0967507389615
0.0117886179,0.9665219999999999,0.9342451700000001,0.90312145047,0.8731050690846001,6.2291922020579005,483.603,0.00897072962417162,0.017068178937348237,0.02437362043569413,0.030958917381396663,3.612122380170331,143.292274973451
0.012195122,0.966461,0.9341275729999999,0.902951409239,0.8728864994832,6.2315065477721,499.435,0.00898828505713233,0.017101734039266913,0.024421683522930764,0.031020065754721875,3.6163088495437106,146.01654908813447
0.012601626,0.966343,0.933901477,0.9026264509149999,0.8724712856008,6.2491700918456,516.085,0.009097588533073863,0.017309432923224104,0.024717578739653603,0.03139465758390024,3.6319987154240914,148.6980258035656
0.0130081301,0.966227,0.9336784690000001,0.9023048831689999,0.8720590929858,6.2685072029636,531.467,0.009161736102312077,0.017433112718619696,0.02489630669723251,0.03162410075986413,3.64569502956593,149.26820125836215
0.0134146341,0.966015,0.933281287,0.901746133221,0.8713595909877999,6.3658010381012,546.959,0.00981851201446423,0.018600438008410894,0.02645527627498172,0.03347833132161432,4.490379241210637,152.1439551940927
0.0138211382,0.965862,0.932987264,0.9013223322899999,0.870816566815,6.3848557308243,564.787,0.009897419608913988,0.01875323192022531,0.02667698219030713,0.03376406038370928,4.492803563702241,156.60947020265772
0.0142276423,0.9656939999999999,0.9326675740000001,0.900865956516,0.870237304539,6.4065988471034006,580.808,0.010137807412805762,0.019205983786146377,0.027316143529525695,0.03456570816489319,4.520665565136624,158.26588143129655
