,p,m1,m2,m3,m4,s,t,m1_std,m2_std,m3_std,m4_std,s_std,t_std
0,0.0010548523,0.1433333333,0.0205444444,0.0029447037,0.0004220742,38.2062256809,181.299,0.0,0.0,0.0,0.0,0.0,174.34503086921865
1,0.0021097046,0.1432966666339,0.020534127733600003,0.0029425261537,0.00042166556039999995,38.1306383234194,374.789,0.00043965132712424213,0.00012316461375597358,2.588541921818061e-05,4.83728053263228e-06,0.5095496402836132,264.3116856027109
2,0.003164557,0.1432449999678,0.0205197249561,0.0029395133992,0.0004211050987,38.0567168020791,560.395,0.0007717321833863118,0.00021454189245302197,4.475670055599502e-05,8.304002990334953e-06,0.7516121133300269,333.77894085210994
3,0.0042194093,0.1431916666351,0.0205048805119,0.0029364128623000003,0.0004205291283,37.9909720199425,748.035,0.0010139925767872642,0.0002812088941064045,5.8526026648673924e-05,1.083373064242239e-05,0.8616956624236971,380.9990945987733
4,0.0052742616,0.1431699999686,0.0204988277343,0.0029351442188,0.0004202926829,37.9086321176665,942.111,0.0010863046632750048,0.00030138199072699104,6.274817754364507e-05,1.161947171616336e-05,0.9791616600473914,421.0021395200745
5,0.0063291139,0.14314666663580003,0.020492294401,0.0029337713763000002,0.0004200361082,37.858800316742794,1137.318,0.0011522127598419531,0.0003194939513871541,6.648491311720532e-05,1.2305448888221566e-05,1.034918443919045,465.9447278008045
6,0.0073839662,0.1430599999701,0.020468211067999998,0.0029287490525,0.000419104573,37.785161003385895,1325.94,0.0014316286692167839,0.0003963103885910287,8.233427305925772e-05,1.5214230143933787e-05,1.1273287075609373,508.26506054594336
7,0.0084388186,0.14299666663740002,0.0204505610683,0.0029250581823,0.00041841818730000004,37.7234511801224,1508.912,0.0015864899163785353,0.00043923628860113,9.126222561411789e-05,1.6865529666245646e-05,1.1959784773027036,544.4140454735798
8,0.0094936709,0.14288166663830001,0.020418586069,0.0029183871408000003,0.0004171804432,37.6128923589622,1698.851,0.0018490160869376164,0.0005119029285702182,0.00010635553679930894,1.965360311937095e-05,1.3337111314150745,578.7078326362574
9,0.0105485232,0.1427899999718,0.0203937221805,0.0029133184974000003,0.0004162601835,37.563399756878304,1891.807,0.002177811985574428,0.0005971869653773932,0.00012304700645515885,2.2573849349809294e-05,1.3798695059380828,610.215201665235
10,0.0116033755,0.1427283333057,0.020376613847400003,0.0029097566596000004,0.0004156006552,37.481677169388504,2074.44,0.0022895402866463708,0.0006282155001991433,0.00012950594503396685,2.3768463847634527e-05,1.4491243585220803,639.705995094747
11,0.0126582278,0.1426866666395,0.0203649666254,0.0029073139328000003,0.0004151451104,37.3956787509603,2262.109,0.0023425006897215216,0.000643160318974063,0.00013266571789053135,2.436181301359817e-05,1.5244862335732643,655.3120073262401
12,0.0137130802,0.1426433333066,0.020352916625599998,0.0029047992014,0.0004146783256,37.3140297326702,2447.197,0.0024087183509728647,0.0006614717003286167,0.00013646303646903992,2.50618067929723e-05,1.5838657657149262,680.6072732872105
13,0.0147679325,0.142589999974,0.0203379610704,0.0029016523866,0.00041408950519999997,37.2370499549549,2633.222,0.0024615178502357515,0.0006762387260838222,0.0001395625666151308,2.5640493379977334e-05,1.6597397774946323,701.3798217587744
14,0.0158227848,0.1425166666414,0.020317622181800003,0.0028974189887,0.0004133057684,37.178251310512096,2815.424,0.002574601514305925,0.000707456579704374,0.00014602394120303853,2.682905169809141e-05,1.6937830965969984,721.405350620512
15,0.0168776371,0.14246166664200002,0.020302236071,0.0028941891971,0.000412702822,37.1190760498372,3011.769,0.002629935011310557,0.0007228777020831993,0.00014924881506306846,2.742882691308296e-05,1.744188658629911,750.0083173639579
16,0.0179324895,0.1423966666426,0.0202842444045,0.0028904519056,0.0004120123371,37.0520837022409,3202.588,0.0027278577323506595,0.0007498838361925904,0.0001548332039236657,2.8455116728629527e-05,1.7809710977478608,765.7938524697627
17,0.0189873418,0.1423399999765,0.0202685555157,0.0028871921094,0.0004114099077,36.965905542955205,3389.64,0.0028085304568554854,0.0007721132886737982,0.00015942642601545108,2.929871487127888e-05,1.8425019117644406,784.0484566545497
18,0.0200421941,0.142284999977,0.0202532971826,0.002884015429,0.0004108216804,36.8748586695163,3580.986,0.00287824276732328,0.000791364555196668,0.00016341311304168455,3.0032566751964895e-05,1.9116547769858765,808.5765045855389
19,0.0210970464,0.142194999978,0.020228647183,0.0028789401513000003,0.0004098908266,36.80907021753,3765.344,0.0030394794908448403,0.0008326770871708142,0.0001714100758486443,3.141826656762413e-05,1.9673879921043993,839.3778093151925
20,0.0221518987,0.14215166664520001,0.0202165582943,0.0028764094755,0.0004094196809,36.7477139496214,3955.985,0.003077575117990458,0.0008433035748945113,0.00017363147464931767,3.183079774834873e-05,1.9975708762064712,862.3307364776425
21,0.0232067511,0.1420799999789,0.0201973166278,0.0028725240265,0.00040872040059999995,36.6699428934928,4149.845,0.003255897333591706,0.0008885884594919712,0.00018229481940162205,3.3310521699123366e-05,2.042257939833465,882.7098785584668
22,0.0242616034,0.14206833331250002,0.0201940305167,0.0028718295219,0.00040858987209999996,36.5932295250349,4343.789,0.003260344952156791,0.0008898278650135295,0.0001825536434152131,3.3358540574842235e-05,2.080917174198678,905.9043134371884
23,0.0253164557,0.1419899999797,0.0201723666282,0.0028673333878,0.0004077599468,36.5106130881519,4538.105,0.003349296099305269,0.0009145524120994304,0.0001877024409401347,3.4310819004894043e-05,2.1388887071870823,918.423387928734
