p,m1,m2,m3,m4,s,t,m1_std,m2_std,m3_std,m4_std,s_std,t_std
0.0001022495,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000204499,1.0,1.0,1.0,1.0,0.0,1.008,0.0,0.0,0.0,0.0,0.0,0.08912880535463238
0.0003067485,1.0,1.0,1.0,1.0,0.0,1.021,0.0,0.0,0.0,0.0,0.0,0.1434558454005257
0.000408998,0.999999,0.9999980005,0.9999970014998001,0.9999960029989999,0.567,1.036,2.23494854414972e-05,4.4687796140247004e-05,6.701493656623027e-05,8.933091565913905e-05,0.49573859720295804,0.1863833113203506
0.0005112474,0.999999,0.9999980005,0.9999970014998001,0.9999960029989999,0.567,1.076,2.23494854414972e-05,4.4687796140247004e-05,6.701493656623027e-05,8.933091565913905e-05,0.49573859720295804,0.2688797059956296
0.0006134969,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.112,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.31868096516352756
0.0007157464,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.157,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.37214175993764725
0.0008179959,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.209,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.42367263128328086
0.0009202454,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.262,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.4664478251354312
0.0010224949,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.34,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.5125062562180703
0.0011247444,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.417,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.5471840736081507
0.0012269939,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.501,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.5868077567170898
0.0013292434,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.567,1.596,2.73587005996069e-05,5.4703721848915556e-05,8.203506921964148e-05,0.0001093527536552833,0.49573859720295804,0.6125023748191993
0.0014314928,0.999998,0.999996001,0.9999940029996,0.999992005998,0.6,1.668,3.157525925463125e-05,6.313473087962497e-05,9.467842119005766e-05,0.00012620634281598785,0.4901430813958717,0.6262333176765418
0.0015337423,0.999998,0.999996001,0.9999940029996,0.999992005998,0.6,1.752,3.157525925463125e-05,6.313473087962497e-05,9.467842119005766e-05,0.00012620634281598785,0.4901430813958717,0.6284034459572057
0.0016359918,0.999998,0.999996001,0.9999940029996,0.999992005998,0.6,1.836,3.157525925463125e-05,6.313473087962497e-05,9.467842119005766e-05,0.00012620634281598785,0.4901430813958717,0.6383662831881948
0.0017382413,0.999998,0.999996001,0.9999940029996,0.999992005998,0.6,1.919,3.157525925463125e-05,6.313473087962497e-05,9.467842119005766e-05,0.00012620634281598785,0.4901430813958717,0.6378446878714648
0.0018404908,0.999998,0.999996001,0.9999940029996,0.999992005998,0.6,2.009,3.157525925463125e-05,6.313473087962497e-05,9.467842119005766e-05,0.00012620634281598785,0.4901430813958717,0.6413503959072058
0.0019427403,0.9999975,0.99999500125,0.9999925037495,0.9999900074975,0.6,2.079,3.5284486605236326e-05,7.055133096716125e-05,0.00010580054014268592,0.00014103212824559578,0.4901430813958717,0.6443401075318637
0.0020449898,0.9999975,0.99999500125,0.9999925037495,0.9999900074975,0.6,2.167,3.5284486605236326e-05,7.055133096716125e-05,0.00010580054014268592,0.00014103212824559578,0.4901430813958717,0.6446134706368827
