p,m1,m2,m3,m4,s,t,m1_std,m2_std,m3_std,m4_std,s_std,t_std
0.00010004,1.0,1.0,1.0,1.0,0.0,24.341,0.0,0.0,0.0,0.0,0.0,24.217084593034432
0.00020008,1.0,1.0,1.0,1.0,0.0,27.494,0.0,0.0,0.0,0.0,0.0,27.468317612705583
0.00030012,1.0,1.0,1.0,1.0,0.0,36.027,0.0,0.0,0.0,0.0,0.0,31.78317859247941
0.0004001601,1.0,1.0,1.0,1.0,0.0,50.695,0.0,0.0,0.0,0.0,0.0,35.64146867469535
0.0005002001,1.0,1.0,1.0,1.0,0.0,56.923,0.0,0.0,0.0,0.0,0.0,39.082073633310145
0.0006002401,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.423,67.989,1.581138830086036e-05,3.1614870907528006e-05,4.74104509823636e-05,6.319813484986274e-05,0.4942826269608462,43.167700069951934
0.0007002801,0.999999,0.9999980005,0.9999970014998001,0.9999960029989999,0.78,78.477,2.2349485441501835e-05,4.4687796140254614e-05,6.701493656622966e-05,8.933091565913376e-05,0.41445358216786105,45.64463718668278
0.0008003201,0.999999,0.9999980005,0.9999970014998001,0.9999960029989999,0.78,86.537,2.2349485441501835e-05,4.4687796140254614e-05,6.701493656622966e-05,8.933091565913376e-05,0.41445358216786105,49.3500360390654
0.0009003601,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.78,97.675,2.73587005995989e-05,5.4703721848888465e-05,8.203506921965205e-05,0.00010935275365530352,0.41445358216786105,51.189527666728324
0.0010004002,0.9999985,0.99999700075,0.9999955022497,0.9999940044985,0.78,106.947,2.73587005995989e-05,5.4703721848888465e-05,8.203506921965205e-05,0.00010935275365530352,0.41445358216786105,53.1451465102656
0.0011004402,0.9999975,0.99999500125,0.9999925037495,0.9999900074975,0.78,116.351,3.528448660523888e-05,7.055133096716493e-05,0.00010580054014268802,0.00014103212824561148,0.41445358216786105,56.94084701740096
0.0012004802,0.9999975,0.99999500125,0.9999925037495,0.9999900074975,0.78,125.602,3.528448660523888e-05,7.055133096716493e-05,0.00010580054014268802,0.00014103212824561148,0.41445358216786105,58.62564765154035
0.0013005202,0.9999975,0.99999500125,0.9999925037495,0.9999900074975,0.78,134.856,3.528448660523888e-05,7.055133096716493e-05,0.00010580054014268802,0.00014103212824561148,0.41445358216786105,60.78699139061185
0.0014005602,0.9999975,0.99999500125,0.9999925037495,0.9999900074975,0.78,143.916,3.528448660523888e-05,7.055133096716493e-05,0.00010580054014268802,0.00014103212824561148,0.41445358216786105,62.739486666589684
0.0015006002,0.9999969999999999,0.9999940015,0.9999910044994,0.9999880089969999,0.78,154.147,3.863279037930151e-05,7.724626436345466e-05,0.0001158404296789392,0.0001544153017789342,0.41445358216786105,63.5354400562642
0.0016006403,0.9999969999999999,0.9999940015,0.9999910044994,0.9999880089969999,0.78,164.799,3.863279037930151e-05,7.724626436345466e-05,0.0001158404296789392,0.0001544153017789342,0.41445358216786105,65.96414076501618
