p,m1,m2,m3,m4,s,t,m1_std,m2_std,m3_std,m4_std,s_std,t_std
0.000102239,1.0,1.0,1.0,1.0,0.0,51.919,0.0,0.0,0.0,0.0,0.0,51.92078781381508
0.0002044781,1.0,1.0,1.0,1.0,0.0,66.446,0.0,0.0,0.0,0.0,0.0,64.22426208092888
0.0003067171,1.0,1.0,1.0,1.0,0.0,108.786,0.0,0.0,0.0,0.0,0.0,79.75858346056326
0.0004089561,1.0,1.0,1.0,1.0,0.0,132.989,0.0,0.0,0.0,0.0,0.0,89.53900889061208
0.0005111952,1.0,1.0,1.0,1.0,0.0,171.728,0.0,0.0,0.0,0.0,0.0,99.169130945736
0.0006134342,1.0,1.0,1.0,1.0,0.0,196.983,0.0,0.0,0.0,0.0,0.0,106.87317056018125
0.0007156732,1.0,1.0,1.0,1.0,0.0,232.583,0.0,0.0,0.0,0.0,0.0,114.19766292362216
0.0008179123,1.0,1.0,1.0,1.0,0.0,262.067,0.0,0.0,0.0,0.0,0.0,121.16833859254346
0.0009201513,1.0,1.0,1.0,1.0,0.0,296.986,0.0,0.0,0.0,0.0,0.0,128.08421202228382
0.0010223903,1.0,1.0,1.0,1.0,0.0,323.942,0.0,0.0,0.0,0.0,0.0,133.13873425325377
0.0011246294,1.0,1.0,1.0,1.0,0.0,356.456,0.0,0.0,0.0,0.0,0.0,139.866059423216
0.0012268684,1.0,1.0,1.0,1.0,0.0,383.53,0.0,0.0,0.0,0.0,0.0,141.9127560521968
0.0013291075,1.0,1.0,1.0,1.0,0.0,417.986,0.0,0.0,0.0,0.0,0.0,149.73847673666057
0.0014313465,1.0,1.0,1.0,1.0,0.0,447.891,0.0,0.0,0.0,0.0,0.0,152.4785126364231
0.0015335855,1.0,1.0,1.0,1.0,0.0,479.851,0.0,0.0,0.0,0.0,0.0,159.69689382357086
0.0016358246,1.0,1.0,1.0,1.0,0.0,508.544,0.0,0.0,0.0,0.0,0.0,165.5835377444628
0.0017380636,1.0,1.0,1.0,1.0,0.0,541.555,0.0,0.0,0.0,0.0,0.0,169.483201322522
0.0018403026,1.0,1.0,1.0,1.0,0.0,572.913,0.0,0.0,0.0,0.0,0.0,174.07894447609084
0.0019425417,1.0,1.0,1.0,1.0,0.0,604.761,0.0,0.0,0.0,0.0,0.0,178.3294402735237
0.0020447807,1.0,1.0,1.0,1.0,0.0,636.461,0.0,0.0,0.0,0.0,0.0,186.44561793576025
0.0021470197,1.0,1.0,1.0,1.0,0.0,666.686,0.0,0.0,0.0,0.0,0.0,190.49734550025266
0.0022492588,1.0,1.0,1.0,1.0,0.0,697.769,0.0,0.0,0.0,0.0,0.0,198.43074459216103
0.0023514978,1.0,1.0,1.0,1.0,0.0,728.793,0.0,0.0,0.0,0.0,0.0,201.59382982428602
0.0024537368,1.0,1.0,1.0,1.0,0.0,763.311,0.0,0.0,0.0,0.0,0.0,205.94268782763237
0.0025559759,1.0,1.0,1.0,1.0,0.0,792.244,0.0,0.0,0.0,0.0,0.0,208.80639975004715
0.0026582149,1.0,1.0,1.0,1.0,0.0,825.293,0.0,0.0,0.0,0.0,0.0,210.16491725177028
0.0027604539,1.0,1.0,1.0,1.0,0.0,855.918,0.0,0.0,0.0,0.0,0.0,214.85131221931684
0.002862693,1.0,1.0,1.0,1.0,0.0,888.638,0.0,0.0,0.0,0.0,0.0,217.85814450492114
0.002964932,1.0,1.0,1.0,1.0,0.0,920.75,0.0,0.0,0.0,0.0,0.0,222.8127128442295
0.003067171,1.0,1.0,1.0,1.0,0.0,950.394,0.0,0.0,0.0,0.0,0.0,225.565521675119
0.0031694101,1.0,1.0,1.0,1.0,0.0,981.445,0.0,0.0,0.0,0.0,0.0,229.4301225997933
0.0032716491,1.0,1.0,1.0,1.0,0.0,1012.831,0.0,0.0,0.0,0.0,0.0,233.61823541607146
0.0033738882,1.0,1.0,1.0,1.0,0.0,1043.816,0.0,0.0,0.0,0.0,0.0,237.7969923139348
0.0034761272,1.0,1.0,1.0,1.0,0.0,1075.406,0.0,0.0,0.0,0.0,0.0,241.47336613082314
0.0035783662,1.0,1.0,1.0,1.0,0.0,1106.076,0.0,0.0,0.0,0.0,0.0,245.2608960497598
0.0036806053,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1137.563,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,250.02057178823762
0.0037828443,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1167.477,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,252.0567516990511
0.0038850833,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1200.696,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,255.70490919140497
0.0039873224,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1233.065,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,260.9915925588148
0.0040895614,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1262.303,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,265.7830126264671
0.0041918004,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1294.934,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,270.66876292476604
0.0042940395,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1326.969,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,272.6615527744264
0.0043962785,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1360.06,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,276.13145235372775
0.0044985175,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1392.06,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,280.04953158350435
0.0046007566,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1422.335,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,282.62794860440175
0.0047029956,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1452.535,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,285.7519640526728
0.0048052346,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1485.137,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,287.3874036048739
0.0049074737,0.9999995,0.99999900025,0.9999985007499,0.9999980014995,0.828,1515.932,1.5811388300838987e-05,3.161487090753405e-05,4.74104509823456e-05,6.319813484984958e-05,0.3775692765024169,290.41782984502174
0.0050097127,0.999999,0.9999980005,0.9999970014998001,0.9999960029989999,0.828,1545.198,2.234948544149315e-05,4.4687796140251626e-05,6.701493656622043e-05,8.933091565914048e-05,0.3775692765024169,292.2236188938866
