,p,m1,m2,m3,m4,s,t,m1_std,m2_std,m3_std,m4_std,s_std,t_std
0,0.0010548523,0.1433333333,0.0205444444,0.0029447037,0.0004220742,38.2062256809,53.508,0.0,0.0,0.0,0.0,0.0,51.08608150684221
1,0.0021097046,0.14328666663390002,0.0205314499558,0.0029419884871,0.0004215696228,38.146428013724,68.732,0.0006176868840238912,0.00017091086474300127,3.54914517934306e-05,6.555617818381488e-06,0.41418421303023506,67.29794342466336
2,0.003164557,0.1431316666353,0.0204883860676,0.0029330103068,0.00041990490600000004,37.9827276820068,94.183,0.0013091302970696637,0.0003620354442776236,7.513681375251469e-05,1.3869846182147105e-05,0.8380819525845123,79.9090167750922
3,0.0042194093,0.1429833333036,0.020447216623700002,0.0029244353674,0.00041831639469999996,37.791123939394396,122.986,0.0017280166554538682,0.0004774428058360396,9.899886336037578e-05,1.825823574173314e-05,1.145788819797944,86.57976588014003
4,0.0052742616,0.14290833330449998,0.020426363846200002,0.0029200844926,0.0004175090066,37.6621925492893,145.498,0.001890959667429319,0.0005224331384798679,0.00010832143750307742,1.9976425181134234e-05,1.3083613872587394,93.98090447748632
5,0.0063291139,0.14280833330570003,0.0203985082911,0.0029142619095,0.00041642658989999996,37.5375701033684,171.304,0.002071848545419754,0.0005725156531125712,0.00011872748102681664,2.1899493595793502e-05,1.4132809292877566,102.98947721207453
6,0.0073839662,0.14270999997320002,0.020371638847,0.0029087436087000002,0.00041541719119999996,37.436201827508796,198.622,0.002345269519298784,0.0006433763303555715,0.00013259567882312358,2.4327636108105747e-05,1.5144109265323065,108.08193568224438
7,0.0084388186,0.1426049999745,0.0203423638475,0.0029026187895,0.00041427756869999997,37.3170536520054,224.421,0.002486774591682157,0.0006828363832885419,0.00014084517937858117,2.5860258935083373e-05,1.6037714197776796,114.30065791323949
8,0.0094936709,0.1424933333088,0.020311377736899998,0.0028961660907,0.0004130823999,37.1813822740593,250.814,0.002652313712493329,0.0007286033301028977,0.00015033330962076116,2.7608629363889543e-05,1.706812692493442,119.28280593527218
9,0.0105485232,0.1423999999762,0.020285955515000002,0.0028909611094,0.0004121331534,37.0583525206322,276.552,0.002864220528506907,0.0007834371663734347,0.00016103846457060108,2.947687925628795e-05,1.8149250108924435,124.1125344887341
10,0.0116033755,0.14230999997660002,0.020261044404300002,0.0028857865818,0.0004111771541,36.931053022695295,303.426,0.002986178431645127,0.0008172512113782289,0.00016806669163633135,3.0774998072009914e-05,1.912756388452802,129.58845508644546
11,0.0126582278,0.1421499999774,0.0202170944049,0.0028767221098,0.00040951360650000004,36.7753101222101,327.964,0.0032376576072088137,0.0008851452708570437,0.00018184610862140925,3.3266329663871156e-05,1.9990257008270844,133.8315418187566
12,0.0137130802,0.1420849999781,0.0201990249607,0.0028729526239000005,0.0004088142335,36.635538189257595,354.229,0.00329979750462983,0.0009024616619394769,0.0001854620496624548,3.3937036416043924e-05,2.0735095648504744,140.76322973648266
13,0.0147679325,0.1419983333118,0.020175124961,0.0028680063000000003,0.00040790371419999996,36.462856236712895,379.678,0.003407336261708078,0.0009321559089670912,0.00019160914987821723,3.5067906297213825e-05,2.182801840495708,145.72266608668474
14,0.0158227848,0.1418733333129,0.020140799961500002,0.0028609266196000004,0.0004066039191,36.3518559870476,404.148,0.0035735219105187386,0.0009762417318379085,0.00020040836834954573,3.6633880162019826e-05,2.2518600859809097,153.13185645534855
15,0.0168776371,0.1417149999804,0.020097469406600003,0.0028520194024000004,0.0004049740194,36.2046501857426,429.328,0.0037871574954062683,0.0010328643716240001,0.00021171583025946162,3.8649525756965256e-05,2.335440242038004,158.72623738511047
